	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1484|1485|1486	si se desarme et baille a Lancelot tot son hernois, |et il s’en appareille |et monte en son cheval, 	e desarmose e dio todas sus armas |e su Cauallo a Lançarote |e Lançarote se armo |e subio enel cauallo 	et baille a lancelot tout son harnoys. |et il sappareille |et monte a cheual 	si se desarme. |et baille a lanc̃ son harnois. |et il sarme et monte en son cheual. 	sy se desarme et baille tout son harnois a lancelot 	si se desarme |et baille a lancelot tout son harnois. |Et il sen appareille tout maintenant |et monte sor le cheual 	e disarma |e dona a Lancellotto sue armi e suo arnese, |ed e'se n’aparecchia, |si monta in suo cavallo, 
1487|1488|1489|1490|1491|1492|1493|1494	puis dist a son oste |qu’il s’en retort; |Imes il dist |que non fera. « |Si ferois, |fet Lancelos |a lar je conoistrai bien les armes a celui |que je vois querant en quelque lieu je les truisse. 	e dixo asu huesped |que se tornase |No fare dixo el huesped |si faredes |dixo lançarote |que yo conoçere |vien el cauallero enlas armas |que lleba en qualquier lugar |que el vaya 	puis dist a son hoste |quil sen retourne. |mais il dit |que non fera |si ferez fait lancelot, |car ie cognoistray bien les armes de ceulx |que ie uoys querant en quelque lieu |que ie les trouue. 	Puis dit a son oste quil sen retort |et il dit |que non fera. |Si ferois fait lanc̃. |Car ie quenoistrai bien ciax as armes |que ie uois querant |en quel que lieu que ie les truisse. 	et il sen appareille |et mente sus le cheual 	et dist a son oste |quil sen retort quar iou connistera bien lez armes a celui |qui iou vois querant. |Etr cil dist |que dont sen retornera il 	poscia dice a suo oste |ch’elli si ritorni, |e que' dice che non farà. |Si farete, |disse Lancellotto, |ch’io conoscerò bene l’armi di colui |a cui io vo cheggendo |in quale che luogo 
1495|1496|1497	Et cil dist, |puis qu’il velt, |s’en retornera: 	yo me tornare |dixo el huesped |pues vos plaz |E|luego se torno 	Et il dit |quil retournera puis quil le ueult. 	et cil dit |puis quil le ueit il sen retornera. 	et fait retourner son hoste 	puis quil le veult. |Si sen retorne atant 	ch’io il trovasse». |VE que' dice che, |poscia ch’elli vuole, |ch’elli si tornerà: 
1498	si s’en vet et enmaine o lui le chevalier 	e llebo consigo el cauallero |quelas armas auia dado a lançarote 	si sen ua et emmaine auec luy le cheualier 	Si sen ua et enmainne le cheualier auecque lui. 		et enmaine aueques lui le cheualier 	si se ne va |e mena con esso lui il cavaliere 
1499|1500	qui molt est liés |de ce que Lancelos li doit I. guerredon. 	que yua muy alegre |de aquello |que lançarote le auia prometido 	qui est moult lie |de ce que lancelot luy doit ung. guerdon. 	qui mout est liez de ce que lanc̃ li doit guerredoner. 	et prent congie de luy. 	qui moult est lies |de ce que lancelot! |doit. j. guerredon. 	che molto est lieto |di ciò che Lancellotto gli dee uno guiderdone. 
1501|1502|1503	Et Lancelos aquelt son chemin aprés cels |que ? il sieut |tant qu’il est venus el tertre en haut 	e lançarote se fue porel camino enpos el cauallero |e andubo tanto |fasta que paso porel otero 	Et lancelot preut son chemin apres ceulx |quil suyt |tant quil est uenu ou tertre en hault. 	Et lanc̃ aquiet son chemin apres ciax |que il sieut. |tant que il est uenus el haut tertre. 	lancelot print son chemin apres ceulx |qui sen uont tant quil est uenu eu tertre en hault/ 	Et lancelot si acuelle son chemin |por aler apres chiaus quil sieut. |Tant quil est uenus el tertre en haut. 	E Lancellotto accoglie suo camino apresso coloro che seguita, |tanto ch’egli è Purchél penurche . |Vjenhaj via venuto al poggio in alti. 
1504|1505	et lors voit devant lui la forest |que l’en apele la forest des Trois Perilx, 	e llego avna floresta |que llamauan la floresta delos tres pilares 	Et lors uoit deuant luy la fourest |quon appelle la fourest des troys perilz. 	et lors uoit deuant lui la forest des trois perilx. 	et lors uoit deuant luy la forest des trois perilz 	Et lors uoit deuant lui la forest dez. iij. perieus:. 	Allora isguarda davanti lui, |si vide la foresta |che l’uomo chiama la foresta de' Tre Perigli, 
1506|1507	et ce por quoi ele fu ensi apelee |devisera bien li contes ça avant. 	e porque fue ella asi llamada este cuento lo deuisara aca adelante 	Et pour quoy elle fu ansi appellec uous deuisera bien le comte cy apres. 	et ce porquoi ele fu ainsi apelee |ce deuissera li contes sa auant. 	et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant. 	Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant. 	e ciò perch’ella fu insi chiamata |vo diviserà il conto ben qua avanti. 
1508|1509	Quant il fu amont el tertre, |si esgarde devant lui, 	Quando el llego ala floresta 	Quant il fu amont ou tertre |si regarde deuant luy. 	Quant lanc̃. fu amon el tertre si regarde 	QUant il fust amonlt eu tertre 	Quant lancelot fu amont el tertre |si regarda deuant lui 	Sl oQuand’e fu montato nel poggio, |si isguarda davanti lui. 
1510|1511	mais il ne voit nul de cels |que il queroit, 	e no vido aquel enpos quien yua e fue 	et il ne uoit nul de ceulx |quil queroit. 	Mais il ne uoit deuant lui nus de ciax |que il guiert. 	si regarde deuant luy 	mais il ni uit nul de ceaus |que il queroit 	ma elli non vide nullo di quelli |ch’elli chiedea, 
1512|1513	kar il s’estoient ja ferus en la forest. |Et totes voies sieut il les esclos des chevals 	entonçe porende muy triste 	car ilz sestoient ia feruz en la foueest. |a touteuoyes suyt il les escloz Des cheuaux 	Car il cestoient ia feru en la forest. |et totesuoiez sieut il les escloz des cheuaus. 	et suyst les pas des cheuaulx 	quar il sestoient ia feru en la forest. |Et toutes voies sieut il lez esclos dez cheuaus 	ché s’erano già messi nella foresta. |E nonperquanto tuttavia segue elli li scrosci de' cavalli 
1514|1515	tant que il vient a l’entree de la forest; |et lors encontre une damoisele tote chenue 	entonçe encontro vna donçella 	tant quil uient a lentree |Et lors encontra une dame toute chenue 	tant que il uient en lentree |et lors encontre une dame tote chenuee. 	tant quil uint a lentree de la forest/ |et lors encentra une damoiselle toute chanue 	tant quil est uenus a lentree de la ; forest. |Et lors encontra vne damoisele toute kenue 	tanto ch’egli è venuto all’entrata della foresta. |Allora incontrò elli una dama tutta canuta 
1516|1517|1518	qui chevalchoit molt cointement |et estoit tote deslie, |ses treces par ses espaules comme pucele 	envn muy fermoso palafren |que hera toda cana |e lleuaua los cauellos tendidos|porlas espaldas |como si fuese muy moça 	qui cheuauchoit moult cointement. |et estoit toute desliee les treces sur les espaules comme pucelle. 	qui cheuauchyt mout coitement. |et ert tote desliie.ses tresces par ses espaules comme pucele. 	qui cheuauchoit menlt coinctement toute descheuelee/ ses tresches entre ses espaulles |comment une pucelle 	qui cheualchoit moult noblement. |et auoit sez treches toutes desloies par sez espaulles comme pucele. 	che cavalcava molto contamente, |suo capelli isparti per sue spalle com’una pulcella, 
1519|1520|1521|1522	et avoit en son chief l. chapel de roses, |kar c’estoit entor la Saint Johan. |Il le salue |et ele li dist 	e traia vn capillejo de Rosas enla cabeça |Ca hera entonçe por sant juan |e lançarote lo saluo 	et auoit en son chef ung chapel de soucique |car cestoit entour la saint iehan |Il la salue. |et elle luy dist 	et auoit en son chief un chapelat de rosez. |Car cestoit Entor la feste saint iehen. |Il la salue |et ele li dist 	et auoit sur son chief ung chapiau de roses/ |il la sallue 	Et auoit en son chief chapel de roses |quar ce estoit entor la saint iehan : |Il le salue maintenant |quil la uit. |Et elle dist 	e avea in suo capo uno capello di rose, |ché ciò era intorno il Santo Giovanni. |Elli saluta |ed ella gli dice 
1523|1524|1525|1526|1527|1528|1529|1530|1531	que bone aventure li doinst Diex. « |Damoisele, |fet il, |me savriés vos a dire |quel part uns chevaliers o unes armes vermeilles s’en vet ? — |En non Diex, |fet ele, |je le vos enseigneroie bien, |se je voloie. — 	e ella lo torno sus saludes |Donçella dixo lançarote |saberme yades enseñar |por do va vn Cauallero devnas armas bermejas |Por dios dixo ella |yo voslo enseñare bien |si quisiere |dezidme 	que bonne auanture luy doint dieu damoisele |fait il me scauriez uous a dire |quelle part sen ua ung cheualier a unes armes uermeilles|Certes fait elle |ie le uous enseigneroye bien si ie uouloye. 	que bone auauture li doint diex. |Dame fait lanc̃. |me saurrez uos adire |quel part uns cheualiers a unes armes uermeilles sen ua. |En nodieu fait ele ie le uos ensangneroie bien ce ie uoloie. 	et elle luy dist que bonne aduanture luy dennast dieu damoiselle |fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles. |Eu nom dieu fait elle |se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant 	que diex li donnast boine auenture. |Damsolisele fait sil me sauries vous enseignier |quel part vns cheualiers sen uait |qui porte vnes armes uermeilles. |Enon dieu fait elle iou le vous enseigneroie bien |se iou voloie. 	che buona aventura gli doni lddio. |Dama, |disse Lancellotto, |mi sapreste vo' dire |in quale parti uno cavaliere a une armi vermiglie se ne va? |—Al nome di Dio, |diss’ella, |il voi insegnerei bene, |s’i' volesse. — 
1532|1533|1534|1535|1536	Dites le moi, |fet il, |par covent |que je soie vostre chevaliers el premier lieu |ou vos me requerrois. — 	dixo lançarote |Por tal conuenençia |que yo sea vuestro cauallero enel Primer lugar |que me rrequerades 	Dictez le moy fait il par conuent |que ie soye uostre cheualier ou premier lieu |que uous me requerrez. 	Dites le moi fut il par couent |que ie soie uostres cheualiers el premier lieu ou ie buos trouerai. 	que ie soie uostre cheualier au premier lieu |que uous me requerres/ 	Dites le moi fait il par tel couuent |que iou soie vos cheualiers el premier lieu ou vous me requerres. 	Ditelme, |disse Lancellotto, per convento |che sia vostro cavaliere nel primaio luogo |che vo me ne richiederete. 
1537|1538	Se vos me creantés, |fet ele, 	Si vosme jurades |dixo la donçella 	Se uous me creancez fait elle 	Se uous me uoles creanter 	se uous me promettes 	Se vous me creantes fait elle 	—?Se vo' mi giurate, |disse la vecchia, 
1539|1540	que vos me sievrois de quel hore |que vos en semoigne, 	que vayades conmigo luego |enla ora que vos llamare 	que uous me suyurez a quelque heure |que ie uous semondray. 	que uos me siere de quel hore que ie uus en semongne ; 	que au pre/ mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray/ 	que vous me sieurres el premier lieu |ou iou vous en semondrai. 	che vo'mi seguirete di qualche ora |ch’i vo ne riglia, 
1541	je le vos enseignerai. »	yo voslo mostrare 	ie le uous enseigneray. 	ie le uos en sangnerai. 		iou le vous enseignerai. 	io il vo insegnerò». 
1542	Et cil li creante, 	e lanzarote lo juro 	Et il luy creance. 	et il li creante. 		Et il li creante maintenant : 	Ed e' lel giura immantanente, 
1543|1544|1545|1546|1547|1548|1549	dont il se repenti |puis molt durement tel hore fu. « |Or alés, |fet ele, |tot cest chemin», |si li mostre I. sentier estroit |qui aloit al travers de la forest. « 	luego donde el se arrepintio |despues|muy duramente tal ora fue |Vos yredes |poreste camino dixo la donzella |fasta que falledes vn sendero atrauieso dela floresta 	dont il se repenty puis moult fort. |Se allez fait elle tout ce chenin. |si luy monstre ung sentier moult estroit |qui aloit a trauers de la fourest. 	dont il se repanti |puis mout durement tel hore fu. |Or uos en alez fait ele par ci |si li mostre .i. estroit santier |qui aloit outre uers de la forest. 	et il luy promet/ denc depuys sen repentist/ |Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part. 	dont il fu puis corocies |et moult se repenti tele heure fu. |Ore ales fait elle tout chest chemin |si li moustre. j. sentier estroit |qui aloit dentrauers la forest. 	donde si penté |poscia duramente tale ora fu. |“Or andate, diss’ella, |tutto questo camino», |si gli mostra uno sentieri stretto |ch’andava in traverso della foresta, 
1550|1551	Si ne tornés, |fet ele, de nule part 	e entonçe tomaredes aquel sendero 	et luy dist |quil ne tourne ca ne la. 	Si ne tornez de nule part. 		si ne tornes nulle part. 	«sì non vi volgete, |diss’ella, |i'nulla 
1552|1553	et quant vos avrois alé entor demie lieue, |si verrois delés I. vivier trois paveillons tendus. 	e desque hubieredes porel andado |quanto vna legua fallaredes |antevn nogal tres tiendas Armadas 	Et quent uous serez fait elle alle entour demye lieue si uerrez de la ung mont quatre paueillons tenduz. 	et quant uos aures ale entor demie lieue : |si uerres delez .i. uanier aux pauillons tandus. 	Quant uous aures cheuauche enuiron demye lieue si uerres de les une riuiere trois pauillons 	Et quant vous aures erre demie lieue. |si troueres. iiij. pauellons sor. j. uiuier tendus. 	parte,Se quando voi arete andato intorno a meza lega, |si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti: 
1554	La dedens troverois le chevalier 	e enla vna dellas fallaredes el Cauallero 	La dedans trouuerez le cheualier 	La dedens troueres le cheualier 	la dedens trouueres le cheualier 	et la dedens troueres le cheualier 	di dentro troverete il cavaliere 
1555|1556|1557	que vos querés |que l’en apele Arramant le Gros; |si le conoistrois a ces enseignes 	que buscades aque llaman aramante el grueso |e vos lo conoçeredes |porestas señales 	que uous querez |que len appelle arramant le grec. |si le cognoistrez a ces enseignes 	que uos queres |que len apele arramant le gros. |Si le quenoistres a ses ansangnes 	que uous demandes |et len lappelle arrement le gras et le cengnoistres a telles enseignes 	que vous queres |que on apele atramant le gros. |si le connistres a ces enseignes 	che vo' chiedete, |che l’uomo chiama Aramonte il Grosso, |si 'l conoscerete a queste insegne, 
