	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1447|1448|1449|1450|1451|1452|1453|1454|1455	tot ce vos trespassera li contes ci endroit |por deviser une aventure |qu’il lor avint el paveillon |ou il estoient. |Ci dist li contes |que, quant il orent le secont mes eu, |es vos un chevalier armé d’unes armes vermeilles |qui vint corant par devant le paveillon o grant compaignie de chevaliers. |Et cil as armes vermeilles 	todo lo dexa aqui el Cuento de contar |Por contar vna auentura que les auino enla tienda |do estauan comiendo Dize el cuento |que ellos estando comiendo |asi como vos digo he aqui |por do viene por antela tienda vn cauallero convnas armas vermejas |con gran conpaña de caualleros |e el Cauallero delas armas vermejas 	pour deuiser une aunture|qui leur aduint ou paueillon elle mourut |par ce quil la refusa. |Tout ce uous trepassera le conte Cy dit listoire |qui quant ilz eurent le segond mes ung cheualier arme dunes armes uermeilles uint courant deuant le paueillen o grant compaignie de cheualiers. |Et cil es armes uermeilles 	Tout ce nos trespasera li contes ci endroit. |por deuiser une auanture |qui lor auint el pauillon. |OR dit li contes |que quant il orrent le secont mes eu. |E uous un cheualier arme a unes armes uermeilles. |et uuit acorant par deuant le pauillon o grant compangnie de cheualiers. |et ciz as armes uermeilles 	Comment lancelot rescouist le frere du cheualier |qui lauoit logie. |Et comment il se deffendist centre argondes. |et puis alla a la douloureuse tour faire enterrer le corps de galle .iiii.xx.xu. |LE compte dit |que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant |par deuant le paueillon a grant compaignie de cheualiers 	out ce vous trespassera li contes |chi endroit |pour deuiser vne autre auenture|qui lor auint el pauellon |ensi com vous orres. |ANsi entendi la damoisele |a regarder lancelot |que onques ne manga |Et tant que on dut seruir du secont mes : |Et quant il orent le secont mes es vous. j. cheualier arme dunes armes uermeilles 	Tutto vo trapassa ora il conto |qui indiritto per divisare una aventura |che loro avenne nel padiglione |ove egli erano. |Or dice il conto |che quando elli ebbono la seconda messa avuta, |ed e' vidono uno cavaliere armato d’un’arme vermiglie 
1456|1457	qui devant venoit entre el paveillon a |et voit. I. escuier 	que delante venia entro enla tienda |e vio vn escudero 	qui uenoit deuant entre ou paueillon et uoit ung escuier 	qui deuant uenoit: |entra el pauillon. |et uoit un escuier 	et il entra au paueillon |et uist ung escuier 	qui vint corant par deuant le paueillon |et vit el paueillon. j. escuier 	che davanti lor venne nel padiglione; |e là ove vide uno scudieri 
1458	qui servoit a la table, 	que seruia antela mesa 	qui seruoit a la table 	qui seruoit a la table. 	qui seruoit a la table 	qui seruoit a la table 	che serviva alla tavola 
1459	si estoit freres al chevalier de laiens. 	e el cauallero 	qui estoit frere au cheualier de leans 	et estoit freres au cheualier de laiens. 	qui estoit frere au cheualier de leans. 	qui estoit freres au cheualier de laiens. 	ed era fratello del cavaliere di là entro, 
1460|1461	Et il cort maintenant cele part, |si le prent par les espaules 	enque lo vido fue contra el |e tomolo porlos braços 	si court maintenant celle part |et le prent par les espaules 	et il cort maintenant cele part |et le prant as espaules 	Il le prent par les espaulles 	Et il cort mainte nant |si le prent par les espaulles 	ed e' corre in quelle parti, |si prende lo scudieri per le spalle 
1462	et le lieve devant lui sor l’arçon de la sele, 	e pusolo antesi sobre el cuello del cauallo 	et le lieue deuant luy sur larcon de la sele. 	et le trait deuant lui sor larson de sa cele. 	et le met deuant lui es arcons de sa selle 	et le met par deuant lui sor le col de son cheual. 	e lieva davanti lui sopra l’arcione della sella, 
1463	si s’en torne a tot. 	e salio conel dela tienda 	si sen tourne atant. 	Si sen torne atant 	si sen ua atout. 	si sen torne a tout. 	si se ne va con tutto lui broccando. 
1464	Et quant cil del paveillon voit ce. 	e el cauallero |quelo vio 	Et quant cil du paueillon uoit ce 	et quant cil del pauillon uoit ce: 	Et quant celui du paueillon uoit ce 	Et quant li cheualiers del paueillon vit chou 	'E quando il signor del padiglione vide ciò, 
1465|1466|1467|1468|1469	si crie a Lancelot: « |Ha, |bials sire, |je sui mors, |se cil enporte ensi mon frere, 	ansi lleuar començo a dar vozes a lançarote |ay señor muerto so si asi me lleba a aquel escudero mi hermano 	si crie a lancelot. |Haa beau sire |ie suys mort sil emporte ainsi mon frere 	Si crie a lanc̾. |a biax sire |ie sui mors ce ciz en porte mon frere. 	si crie a lancelot. |Haa sire ie suis mort |se celui emporte mon frere/ 	si crie a lancelot. |Sire iou sui mors sil emporte ensi mon frere. 	si isgrida a Lancellotto: |Al, bel sire, |io son morto se |que' ne porta insi mio fratello, 
1470|1471	kar il l’ocirra, |s’il n’est secors: 	Ca lo matara si lo no acorredes 	Car il loccira sil nest secouru. 	Car il locirra ia. ce i nest cecorus. 	car il loccira sil nest secouru 	quar il locirra sil nest secorus 	ché l’uccidrà se nonn-è 
1472	si vos pri por Dieu 	e porende vos Ruego |por dios 	si uous pry pour dieu 	Si uous pri por dieu 	Si uous prie pour dieu 	Si vous pri pour dieu 	soccorsol Si vo priego, per Dio, 
1473	que vos i metés paine. » 	que me ayudedes alo cobrar 	que uous mectez et ung escuier uient a luy |si luy dist. 	que uos metes painne en lui rauoir. 	que uous mettez paine a le secourir 	que vous metes paine en lui rescorre. 	che vo' vi mettiate pena in lui riscuotere». 
1474	Et Lancelos saut de la table 	e lançarote salio luego dela mesa 	Certes fait il. 	Et lanc̃ saut de la table 	Et lancelot sault hors de la table 	Lors saut maintenant lancelot doutre la table. 	E Lancellotto salta tutto immantanente della tavola 
1475|1476|1477|1478|1479|1480|1481|1482|1483|1484|1485|1486|1487|1488|1489	et demande ses armes, |et I. escuiers vint avant, |si li dist : « |Par foi, |sire, |vos armes et vostre cheval enmainent il ! |— |Voire, |fet il. par mon chief, |ja por ce ne remaindra |que je nes sieve.» |Lors vient fors del paveillon |et li chevaliers o lui |et il esgarde cels |qui s’en vont 	e pidio sus armas a vn su escudero |Que y estaua le dixo |señor |Por buena fee el cauallero vos a hecho llebar vuestras armas |e vuestro cauallo pormi cabeza dixo lançarote |ni por eso non fincara |quelo non siga |e luego salio lançarote dela tienda |e el cauallero conel |e vieron yr los caualleros pasando el agua 	uoz armes et demourra |que ie ne les suyue. |Lors uient hors du paueillon. |et les peine a le rauoir et lancelot sault de la table |et demande ses armes |uostre cheual emmainent ilz. |uoire fait il. |Par mon chief |pour ce ne cheualiers o luy. |et il regarde ceulx |qui sen uont 	et demande ses armes. |et uns escuiers saut auaut |si li dist. |Par foi sire et uos armes et uostre cheual enmainnent il. |uoire fait cil: |par mon chief iaporte ne remandra |que ie nes sieue. |Lors uient fors del pauillon |et li cheualiers o lui |et regardent cex |qui sen uont. 	et demande ses armes, |et ung escuier uint a lui |et lui dist. |Par ma foy sire uoz armes emportent il. |Par mon chief |pour ce ne ne demourra il pas |que ie ne le suiue. |Et lors sault hors du paueillen |et le cheualier auec lui Ilz regardent ceulx |qui sen uont 	si demande ses armes |Et vns escuiers vint a lui. |si li dist Par foy |sire vos armes et vostre cheual enmainent il |voire fait il : |par mon chief por chou ne remandra il mie |que ams iou ne lez sieue. |Et lors sen ist hors del paueillon. |et li cheualiers aueques lui. |et il regarde chiaus |qui sen vont 	e domanda sue armi, |e uno scudiere viene avanti |che gli disse: |«Per fé, |vostre armi e vostro cavallo ne mena elli. — |Vere, diss’elli, |per mio capo, |già per ciò non rimarrà |ch’io nol seguiti». |Allor va fuori del padiglione e l cavaliere con lui, |ed e'risguardano quelli |che se ne vanno 
1490	qui ja avoient passé l’eve par J. pont de fust; 	Porvna puente de madero 	qui auoient ia passe leaue par ung pont de fust. 	qui ia auoiet passe leue par .i. poncel de fust. 	qui auoient ia passe leaue par ung pont de fust. 	qui auoient passe laigue par. j. pont de fust. 	che già avieno passato l’acqua per un ponte di legno, 
1491|1492	et Lancelos demande al chevalier |s’il remaindra. « 	señor dixo lançarote al cauallero fincad vos aqui no fare dixo el 	Et lancelot demande au cheualier sil demourra. 	et lanc̃. demande au cheualier |ce il remaindra. 	Lancelot demande au cheualier sil demourra. 	Et lancelot demande au cheualier sil remandra 	Pe Lancellotto domanda al cavaliere |s’elli rimarrà, |ed e dice: 
1493|1494|1495|1496|1497	Sire, |fet il, |nenil, |ains vos ferai compaignie |tant que nos aions trové 	mas antes yre con vos |fasta que falledes quien vos de armas |e cauallo enque sigades el cauallero 	sire fait il nennil. |ains uous feray compaignie |tant que nous ayons trouue 	Sire fait cil non. |ains uos ferai compangnie. |tant que nos aions troue 	Sire fait il nenny |ains uous feray compaignie |tant que uous aiez trouue 	Sire fait il nenil ains vous tendrai compaignie |tant que vous aies troue 	«Sire, |non, |anzi, |vo farò compagnia tanto |che noi troviamo 
1498	qui armes vos baut. » 	Luego se començaron de yr |e andubieron tanto 	qui nous preste armes. 	qui armes nos baut. 	qui armes uous baillera. 	qui armes vous volsist baillier. 	chi armi vo doni». 
1499|1500|1501|1502	Lors acueillent lor voie tot a pié |et vienent au pont, |si passent outre |et s’adrecent a I. tertre 	fastaque llegaron ala puente de madera |e pasaronla |e fueronse contravn otero 	Lors acceillent leur uoye tout a pie |et uiennent au pont |si passerent oultre |et sadrecent au chemin 	Et lors acuellent lor uoie. tout a pie. |et uienent au pont |si passent outre. |et sadrescent au tertre 	Lois uiennent au pent tout a pie |et passent oultre |et se adrecent a ung terte 	Lors acoillent lor chemin droit au pont |et passent outre. |Et sadrecent a vn tertre 	Allora accolgono lor camino tutto a |ppiè e vengono al ponte, |si passano oltre e s’adirsizlano al poggio 
1503	par ou li chevalier s’en vont; 	Por do los caualleros se yuan e lançarote 	par ou les cheualiers sen uont. 	par ou li cheualiers sen ua. 	par ou les cheualiers uont. 	par ou li cheualier vont. 	per dove il cavaliere se ne va. 
1504	si n’ont gaires alé 	e el cauallero fueron tanto 	si nont gueres alle 	Si nont gaires ale 	Si ne ont gaires alle 	Si nont gaires ale 	Si non ebbono guari andato 
1505	quant il encontrent I. chevalier armé d’unes armes noires 	enpos ellos |fastaque encontraron vn cauallero armado devnas armas negras 	que ilz encontrent ung cheualier arme dunes armes noires 	quant il uoient .i. cheualier arme a unes armes noires. 	quant ilz encontrent ung cheualier arme dunes armes noires 	quant il ont encontre. j. cheualier a vnes armes noires 	quando elli incontrarono uno cavaliere a une armi nere 
1506|1507	qui venoit al pont par I. chemin de travers. |Et quant il voit Lancelot, 	que venia ala puente |porvn sendero pequeño |altrabes |e quando el vio a lançarote 	qui uenoit au pont par ung chemin de trauers. |et quant il uoit lancelot 	qui uenoit au pont par .i chemin de de trauers. |et quant il uoit lanc̃ si sareste 	Quant il uist lancelot il se arresta pource 	qui venoit au pont par. j. Chemin de trauers. |Et quant il vit lancelot si sarreste por chou 	che vlenlia al ponte per uno camino di traverso. |E quand’e' vide Lancellotto, 
1508	si s’areste por ce que bien le conoissoit, 	luego lo conoçio |e estovo quedo 	si se arreste |par ce que bien le cognoissoit. 	por ce que bien le quenoissoit. 	qu il le congnoissoit bien 	quil le connut bien.	si si arestò per ciò che ben lo conosce, 
1509	si li demande 	fastaque llego 	si luy demande 	Si li demande 	et lui demanda 	Si li demande 	si gli domanda 
1510|1511	ou il vet |ensi a pié tos desammés. « 	e dixole 	ou il ua ainsi a pie et tout desarme. 	ou il ua Si a pie et ansi desarmes 	ou il alloit ainsi a pie tout desarme. 	ou il aloit ensi tout a pie et desarmes. 	ov’elli va insi a piede e tutto disarmato. 
1512|1513|1514|1515|1516	Qui estes vos, |sire chevaliers, |fet Lancelos, |qui me demandés |ou je vois ? — 	señor do ydes asi de pie |e desarmado |e quien sodes vos dixo lançarote 	Qui estes uous fait lancelot sur cheualier. |qui me denandez ou ie uoys. 	Qui estes uos fait il sire cheualiers |qui me demandes ou ie uois. 	Quest ce fait lancelot demandez uous ou ie uois. 	Qui estes vous fait lancelot |qui me demandes ou ie vois. 	PeChi siete voi, |disse Lancellotto, sire, |che mi domandate |ov’io vò? - 
1517|1518|1519	Je sui, |fet il, |I. chevaliers d’estrange païs, 	yo so dixo el vn cauallero destraña tierra 	Ie suys fait il ung cheualier estrange. 	Ie sui fait il de cest estrange pais. 	Oy sire si suis ung cheualier destrange pais 	Iou sui fait il vns cheualiers destrange pais 	l’ son, diss’elli, |uno cavaliere di stran paese 
1520|1521	mais molt me merveil |de ce que je vos voi ensi aler. » 	que mucho me marauillo |porque vos veo yr 	mais moult me merueille |de ce que ie uous uoy ainsi aller. 	mais mout me merueil |de ce que ainsi uos uoi aler. 	qui moult me merueille de uous uoir aller ainsi. 	qui moult mesmerueil de chou |que iou vous voi ensi aler. 	che molto mi maraviglio di ciò |ch’io vi veggio insì andare». 
1522|1523	Et Lancelos li conte |comment il estoit herbergiés 	asi 	et lancelot luy comte |comment il estoit herberge. 	et lanc̃. li conte |comment il estoit ainsi herbregiez. 	Et lancelot lui compte |comment il estoit hebergie: 	Et lancelot li conte |comment il estoit herbergies. 	E Lancellotto gli conta |com’egli era albergato 
1524|1525	et comment I. chevaliers vint laiens |ou il menjoit, 	e apie e lançarote lo conoçio |e començole a contar 	et comment ung cheualier uint leans 	et coment li cheualiers enporte lescuier. 	et comment ung cheualier uint la |ou il mengoit 		e come uno cavaliere venne là entro |ov’elli mangiavano, 
1526|1527	qui prist a force I. vaslet |et le mist sor le col de son cheval. « 	como el cauallero lo aluergara 	qui print a force ung uarlet |et le mist sur le coul de son cheual. 		qui print a force ung uarlet |et le mist sur le col de son cheual. 		e prese uno scudieri a forza davanti noi |e l mise sopra l collo di suo cavallo, 
1528|1529|1530|1531|1532|1533|1534|1535	Et encore m’a il plus meffet, |fet Lancelos, |kar cil qui avec lui vindrent enporterent mes armes |et enmenerent mon cheval. |— |Quel guerredon, |fet cil, |porroie je atendre de vos, 	e como el otro les llebo el escudero |que ala mesa seruia afuerça ençima del cauallo |e como le fiço llebar sus armas |Que galardon me daredes |dixo el cauallero 	et encor ma il plus meffait. |Car ceulx qui uindrent auec luy emporterent mes armes |et emmenerent mon cheual |Quel guerdon pourroye ie actendre de uous. 	et encor ma il plus mesfait fait fait lanceloz. |Car cil qui auec lui uindrent enportent mes armes. |et en mainnent mon cheual. |Quel guerredon porroi ge atandre de uus 	Et encores y a il plus fait lancelot |car ceulx |qui auec luy sont emportent mes armes |et emmainent mon cheual/ quel guerdon fait celuy pouroie ie auoir de uous 	et comment li valles fu pris et sez armes et ses cheuals emportees. |Quel guerredon fait cil porroie iou de vous atendre : 	e ancor m’à elli più misfatto, |disse Lancellotto, |ché quelli che con esso lui venono ne portano mie armi |e ne menano mio cavallo. |—E quale |guiderdone potre io di voi atendere, 
